ID,Nama Jurusan,Nama PTN,Fakultas,Lokasi,Akreditasi,Peminat 2024,Daya Tampung SNBP 2025,Daya Tampung SNBT 2025,Rasio Keketatan,Lama Studi Rata-rata (Bulan),Tingkat Kelulusan (%),Maks. Waktu Tunggu Kerja (Bulan),Gaji Awal Min,Gaji Awal Max,Prospek Kerja Utama,Prospek Kerja Alternatif,Kebutuhan Industri,Tingkat Persaingan Kerja,Keterampilan Utama,Tingkat Kesulitan,Sumber Data
88,Antropologi,Universitas Maritim Raja Ali Haji,FISIP,Tanjungpinang,Baik,198,12,18,6.6,42,86,54,3800000,7600000,Antropolog,Peneliti Budaya Melayu,Menengah,Rendah,Penelitian Lapangan,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
89,Pendidikan IPS,Universitas Negeri Gorontalo,FIS,Gorontalo,Baik,287,15,23,7.6,41,88,46,4000000,8000000,Guru IPS,Peneliti Pendidikan,Tinggi,Menengah,Pengajaran,Sedang,https://seleksi.um.ac.id/program-studi-dan-daya-tampung-sarjana/
90,Sosiologi,Universitas Negeri Gorontalo,FIS,Gorontalo,Baik,245,14,21,7.0,42,87,51,3900000,7800000,Sosiolog,Peneliti Sosial,Menengah,Rendah,Analisis Sosial,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
91,Antropologi,Universitas Sultan Ageng Tirtayasa,FISIP,Serang,Baik,232,13,20,7.0,42,87,52,4000000,8000000,Antropolog,Peneliti Sosial,Menengah,Rendah,Penelitian Lapangan,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
92,Ilmu Politik,Universitas Sultan Ageng Tirtayasa,FISIP,Serang,Baik,319,17,25,7.5,42,88,47,4200000,8400000,Analis Politik,Konsultan Politik,Tinggi,Menengah,Analisis Politik,Sedang,https://campus.quipper.com/majors/id-ilmu-politik
93,Ilmu Politik,Universitas Bangka Belitung,FISIP,Pangkalpinang,Baik,258,14,21,7.4,42,87,49,4100000,8200000,Analis Politik,Konsultan Politik,Tinggi,Menengah,Analisis Politik,Sedang,https://campus.quipper.com/majors/id-ilmu-politik
94,Sosiologi,Universitas Bangka Belitung,FISIP,Pangkalpinang,Baik,212,13,19,6.6,42,86,52,3900000,7800000,Sosiolog,Peneliti Sosial,Menengah,Rendah,Analisis Sosial,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
95,Ilmu Perpustakaan,Universitas Mataram,FISIP,Mataram,Baik,254,15,22,6.9,41,89,44,4000000,8000000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
96,Sosiologi,Universitas Mataram,FISIP,Mataram,Baik,267,15,22,7.2,42,87,50,4100000,8200000,Sosiolog,Peneliti Sosial,Menengah,Rendah,Analisis Sosial,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
97,Antropologi,Universitas Mataram,FISIP,Mataram,Baik,223,13,20,6.8,42,86,53,3900000,7800000,Antropolog,Peneliti Budaya,Menengah,Rendah,Penelitian Lapangan,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
98,Ilmu Perpustakaan,Universitas Terbuka,FHISIP,Jakarta,Baik,354,16,24,8.9,41,92,40,4000000,8000000,Pustakawan,Information Manager,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://www.tempo.co/politik/biaya-kuliah-universitas-terbuka-2024-jenjang-sarjana-dan-diploma-57918
99,Industri Perjalanan Wisata,Universitas Udayana,Fakultas Pariwisata,Denpasar,Baik Sekali,365,19,29,7.6,42,87,46,4300000,8600000,Tourism Manager,Travel Consultant,Tinggi,Menengah,Industri Travel,Sedang,https://www.unud.ac.id/in/fakultas11-Fakultas%20Pariwisata.html
100,Antropologi,Universitas Udayana,FISIP,Denpasar,Baik Sekali,318,17,26,7.4,42,88,48,4200000,8400000,Antropolog,Peneliti Budaya Bali,Menengah,Rendah,Penelitian Lapangan,Sulit,https://www.unud.ac.id/in/fakultas11-Fakultas%20Pariwisata.html
101,Arkeologi,Universitas Udayana,FIB,Denpasar,Unggul,297,16,24,7.4,43,87,50,4100000,8200000,Arkeolog,Peneliti Cagar Budaya,Menengah,Rendah,Ekskavasi,Sulit,https://id.wikipedia.org/wiki/Fakultas_Ilmu_Budaya_Universitas_Udayana
102,Sastra Jepang,Universitas Udayana,FIB,Denpasar,Baik Sekali,435,22,33,7.9,41,90,42,4500000,9000000,Penerjemah,Interpreter,Tinggi,Menengah,Bahasa Jepang,Sedang,https://id.wikipedia.org/wiki/Fakultas_Ilmu_Budaya_Universitas_Udayana
103,Sastra Bali,Universitas Udayana,FIB,Denpasar,Baik,186,12,18,6.2,42,85,55,3900000,7800000,Peneliti Naskah Kuno,Filolog,Menengah,Rendah,Kajian Tekstual,Sulit,https://id.wikipedia.org/wiki/Fakultas_Ilmu_Budaya_Universitas_Udayana
104,Antropologi,Universitas Indonesia,FISIP,Depok,Unggul,412,20,30,8.2,43,88,48,4500000,9000000,Antropolog,Peneliti Sosial Budaya,Menengah,Rendah,Penelitian Lapangan,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
105,Sastra Arab,Universitas Indonesia,FIB,Depok,Baik Sekali,286,16,24,7.2,41,89,45,4300000,8600000,Penerjemah,Dosen Bahasa Arab,Menengah,Rendah,Bahasa Arab,Sedang,https://www.kompas.com/edu/read/2024/05/17/121025871/10-ptn-menaikkan-biaya-kuliah-2024-ada-ui-dan-ugm
106,Sastra Perancis,Universitas Indonesia,FIB,Depok,Baik Sekali,342,18,27,7.6,41,90,43,4400000,8800000,Penerjemah,Diplomat,Menengah,Menengah,Bahasa Perancis,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
107,Sastra Rusia,Universitas Indonesia,FIB,Depok,Baik,184,12,18,6.1,42,87,47,4200000,8400000,Penerjemah,Diplomat,Menengah,Rendah,Bahasa Rusia,Sedang,https://www.zenius.net/blog/jurusan-snmptn-yang-jarang-diminati/
108,Sastra Jerman,Universitas Indonesia,FIB,Depok,Baik Sekali,253,15,22,6.8,41,88,46,4300000,8600000,Penerjemah,Diplomat,Menengah,Rendah,Bahasa Jerman,Sedang,https://www.zenius.net/blog/jurusan-snmptn-yang-jarang-diminati/
109,Sastra Belanda,Universitas Indonesia,FIB,Depok,Baik,196,12,18,6.5,42,86,50,4100000,8200000,Penerjemah,Peneliti Naskah Kuno,Menengah,Rendah,Bahasa Belanda,Sedang,https://www.zenius.net/blog/jurusan-snmptn-yang-jarang-diminati/
110,Ilmu Filsafat,Universitas Padjadjaran,FIB,Jatinangor,Baik,218,13,20,6.6,43,85,58,4000000,8000000,Peneliti,Konsultan,Menengah,Rendah,Pemikiran Kritis,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
111,Sastra Jepang,Universitas Padjadjaran,FIB,Jatinangor,Baik Sekali,432,22,33,7.9,41,90,42,4500000,9000000,Penerjemah,Interpreter,Tinggi,Menengah,Bahasa Jepang,Sedang,https://www.kompas.com/edu/read/2023/04/18/095254271/biaya-kuliah-jurusan-hukum-ui-ugm-unpad-unair-ub
112,Sastra Sunda,Universitas Padjadjaran,FIB,Jatinangor,Baik,176,12,18,5.9,41,87,55,3900000,7800000,Peneliti Budaya Sunda,Penerjemah,Menengah,Rendah,Bahasa Sunda,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
113,Sastra Korea,Universitas Gadjah Mada,FIB,Yogyakarta,Baik Sekali,528,24,36,8.8,41,92,38,4600000,9500000,Penerjemah,Korea Content Manager,Tinggi,Menengah,Bahasa Korea,Sedang,https://www.kompas.com/edu/read/2024/05/17/121025871/10-ptn-menaikkan-biaya-kuliah-2024-ada-ui-dan-ugm
114,Kebudayaan Jawa,Universitas Gadjah Mada,FIB,Yogyakarta,Baik,187,12,18,6.2,42,86,56,3900000,7800000,Peneliti Budaya Jawa,Penerjemah,Menengah,Rendah,Bahasa Jawa,Sedang,https://www.kompas.com/edu/read/2024/05/17/121025871/10-ptn-menaikkan-biaya-kuliah-2024-ada-ui-dan-ugm
115,Ilmu Filsafat,Universitas Airlangga,FIB,Surabaya,Baik,204,13,19,6.4,43,84,59,4000000,8000000,Peneliti,Dosen,Menengah,Rendah,Pemikiran Kritis,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
116,Sastra Jepang,Universitas Airlangga,FIB,Surabaya,Baik Sekali,418,21,32,7.9,41,90,41,4500000,9000000,Penerjemah,Interpreter,Tinggi,Menengah,Bahasa Jepang,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
117,Sastra Tiongkok,Universitas Airlangga,FIB,Surabaya,Baik,324,17,25,7.7,41,89,43,4400000,8800000,Penerjemah,Business Liaison,Tinggi,Menengah,Bahasa Mandarin,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
118,Sastra Inggris,Universitas Brawijaya,FIB,Malang,Baik Sekali,487,24,36,8.1,41,89,42,4500000,9000000,Penerjemah,Content Writer,Tinggi,Menengah,Bahasa Inggris,Sedang,https://fib.ub.ac.id/studyprogrammes/
119,Sastra Jepang,Universitas Brawijaya,FIB,Malang,Baik Sekali,452,23,34,7.9,41,90,41,4600000,9200000,Penerjemah,Interpreter,Tinggi,Menengah,Bahasa Jepang,Sulit,https://fib.ub.ac.id/studyprogrammes/
120,Sastra Prancis,Universitas Brawijaya,FIB,Malang,Baik,198,13,19,6.2,43,84,60,3900000,7800000,Penerjemah,Tour Guide,Menengah,Rendah,Bahasa Prancis,Sulit,https://fib.ub.ac.id/studyprogrammes/
121,Sastra Jepang,Universitas Diponegoro,FIB,Semarang,Baik Sekali,425,21,32,8.0,41,90,42,4500000,9000000,Penerjemah,Interpreter,Tinggi,Menengah,Bahasa Jepang,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
122,Kebudayaan Jawa,Universitas Diponegoro,FIB,Semarang,Baik,192,12,18,6.4,42,86,56,3900000,7800000,Peneliti Budaya Jawa,Penerjemah,Menengah,Rendah,Bahasa Jawa,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
123,Sastra Arab,Universitas Negeri Malang,FBS,Malang,Baik,264,15,22,7.2,41,88,47,4200000,8400000,Penerjemah,Dosen Bahasa Arab,Menengah,Rendah,Bahasa Arab,Sedang,https://seleksi.um.ac.id/program-studi-dan-daya-tampung-sarjana/
124,Sastra Jerman,Universitas Negeri Malang,FBS,Malang,Baik,257,15,22,7.0,41,88,46,4300000,8600000,Penerjemah,Diplomat,Menengah,Rendah,Bahasa Jerman,Sedang,https://seleksi.um.ac.id/program-studi-dan-daya-tampung-sarjana/
125,Sastra Prancis,Universitas Negeri Semarang,FBS,Semarang,Baik,226,14,21,6.5,41,88,45,4200000,8400000,Penerjemah,Diplomat,Menengah,Rendah,Bahasa Prancis,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
126,Sastra Jawa,Universitas Negeri Semarang,FBS,Semarang,Baik,184,12,18,6.1,42,86,55,3900000,7800000,Peneliti Budaya Jawa,Penerjemah,Menengah,Rendah,Bahasa Jawa,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
127,Sastra Jepang,Universitas Hasanuddin,FIB,Makassar,Baik Sekali,392,20,30,7.8,41,89,43,4400000,8800000,Penerjemah,Interpreter,Tinggi,Menengah,Bahasa Jepang,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
128,Sastra Bugis Makassar,Universitas Hasanuddin,FIB,Makassar,Baik,173,11,17,6.2,42,85,57,3800000,7600000,Peneliti Budaya Sulawesi,Penerjemah,Menengah,Rendah,Bahasa Bugis & Makassar,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
129,Ilmu Perpustakaan,Universitas Muhammadiyah Surakarta,FISIP,Surakarta,Baik,287,16,24,7.2,41,89,44,4100000,8200000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
130,Arkeologi Islam,Universitas Islam Negeri Sunan Kalijaga,Adab dan Humaniora,Yogyakarta,Baik,214,13,19,6.7,43,85,56,3900000,7800000,Arkeolog,Peneliti Cagar Budaya Islam,Menengah,Rendah,Ekskavasi,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
131,Pendidikan Bahasa Mandarin,Universitas Negeri Jakarta,FBS,Jakarta,Baik Sekali,387,20,30,7.7,41,89,43,4400000,8800000,Guru Bahasa Mandarin,Penerjemah,Tinggi,Menengah,Pengajaran,Sedang,https://penmaba.unj.ac.id/biaya-pendidikan/
132,Pendidikan Bahasa Jerman,Universitas Negeri Yogyakarta,FBS,Yogyakarta,Baik Sekali,328,18,27,7.3,41,88,45,4300000,8600000,Guru Bahasa Jerman,Penerjemah,Tinggi,Menengah,Pengajaran,Sedang,https://pmb.uny.ac.id/program-sarjana/daya-tampung
133,Pendidikan Bahasa Jepang,Universitas Negeri Yogyakarta,FBS,Yogyakarta,Baik Sekali,414,21,31,8.0,41,90,42,4500000,9000000,Guru Bahasa Jepang,Penerjemah,Tinggi,Menengah,Pengajaran,Sedang,https://pmb.uny.ac.id/program-sarjana/daya-tampung
134,Sastra Bali,Universitas Udayana,FIB,Denpasar,Baik,168,11,17,6.0,42,86,55,3900000,7800000,Peneliti Budaya Bali,Penerjemah,Menengah,Rendah,Bahasa Bali,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
135,Ilmu Komunikasi,Universitas Indonesia PSDKU Banyuwangi,FISIP,Banyuwangi,Baik,378,19,29,7.9,41,89,45,4200000,8400000,Public Relations,Media Planner,Tinggi,Menengah,Komunikasi,Sedang,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
136,Pendidikan Antropologi,Universitas Negeri Medan PSDKU Pematangsiantar,FIS,Pematangsiantar,Baik,216,13,19,6.8,42,87,52,4000000,8000000,Guru Antropologi,Peneliti Sosial,Tinggi,Rendah,Pengajaran,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
137,Sastra Minangkabau,Universitas Andalas,FIB,Padang,Baik,163,11,17,5.8,42,85,56,3800000,7600000,Peneliti Bahasa,Penerjemah,Menengah,Rendah,Bahasa Minang,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
138,Hubungan Internasional,Universitas Pertahanan Indonesia,FISIP,Bogor,Unggul,584,26,39,9.0,42,92,35,5000000,12000000,Diplomat,Analis Kebijakan,Tinggi,Tinggi,Diplomasi,Sedang,https://campus.quipper.com/majors/id-ilmu-politik
139,Manajemen Pariwisata Halal,Universitas Islam Negeri Mataram,Ekonomi dan Bisnis Islam,Mataram,Baik,318,17,25,7.6,41,88,45,4200000,8400000,Manajer Wisata Halal,Konsultan Pariwisata,Tinggi,Menengah,Manajemen Pariwisata,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
140,Sastra Sunda,Universitas Pendidikan Indonesia,FPBS,Bandung,Baik,157,11,16,5.8,41,86,54,3900000,7800000,Peneliti Budaya Sunda,Penerjemah,Menengah,Rendah,Bahasa Sunda,Sedang,https://www.kompas.com/edu/read/2024/01/30/105500771/rincian-biaya-kuliah-ukt-upi-jalur-snbp-di-semua-jurusan
141,Filologi,Universitas Gadjah Mada,FIB,Yogyakarta,Baik,173,12,18,5.8,43,84,58,3900000,7800000,Peneliti Naskah Kuno,Konservator,Menengah,Rendah,Kajian Tekstual,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
142,Pendidikan Bahasa Korea,Universitas Negeri Semarang,FBS,Semarang,Baik,362,18,27,8.0,41,89,42,4500000,9000000,Guru Bahasa Korea,Penerjemah,Tinggi,Menengah,Pengajaran,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
143,Ilmu Politik PSDKU Sidenreng Rappang,Universitas Hasanuddin,FISIP,Sidenreng Rappang,Baik,246,14,21,7.0,42,87,49,4100000,8200000,Analis Politik,Konsultan Politik,Tinggi,Menengah,Analisis Politik,Sedang,https://campus.quipper.com/majors/id-ilmu-politik
144,Seni dan Budaya Islam,Universitas Islam Negeri Ar-Raniry,Adab dan Humaniora,Banda Aceh,Baik,207,13,19,6.5,41,86,52,3900000,7800000,Konservator Budaya,Kurator,Menengah,Rendah,Kesenian Islam,Sedang,https://span.ptkin.ac.id/daya-tampung
145,Ilmu Komunikasi PSDKU Tegal,Universitas Diponegoro,FISIP,Tegal,Baik,352,18,27,7.8,41,88,46,4200000,8400000,Public Relations,Media Planner,Tinggi,Menengah,Komunikasi,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
146,Sastra Melayu,Universitas Maritim Raja Ali Haji,FIB,Tanjungpinang,Baik,148,10,15,5.9,41,86,54,3800000,7600000,Peneliti Budaya Melayu,Penerjemah,Menengah,Rendah,Bahasa Melayu,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
147,Antropologi Kelautan,Universitas Halu Oleo,FISIP,Kendari,Baik,185,12,18,6.2,42,85,55,3800000,7600000,Peneliti Masyarakat Pesisir,Konsultan Sosial,Menengah,Rendah,Penelitian Sosial Maritim,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
148,Sastra Aceh,Universitas Syiah Kuala,FIB,Banda Aceh,Baik,156,11,16,5.8,42,86,53,3800000,7600000,Peneliti Bahasa,Penerjemah,Menengah,Rendah,Bahasa Aceh,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
149,Ilmu Filsafat,Universitas Katolik Parahyangan,FIB,Bandung,Baik,196,12,18,6.5,43,84,58,4100000,8200000,Peneliti,Dosen,Menengah,Rendah,Pemikiran Kritis,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
150,Manajemen Pemasaran Pariwisata,Universitas Pendidikan Indonesia,FPIPS,Bandung,Baik Sekali,402,20,30,8.0,41,90,41,4600000,9200000,Manajer Pemasaran,Tourism Analyst,Tinggi,Menengah,Marketing,Sedang,https://www.kompas.com/edu/read/2024/01/30/105500771/rincian-biaya-kuliah-ukt-upi-jalur-snbp-di-semua-jurusan
151,Survei dan Pemetaan,Universitas Pendidikan Indonesia,FPIPS,Bandung,Baik,284,16,24,7.1,42,87,48,4300000,8600000,Surveyor,GIS Analyst,Tinggi,Rendah,Pemetaan,Sedang,https://www.kompas.com/edu/read/2024/01/30/105500771/rincian-biaya-kuliah-ukt-upi-jalur-snbp-di-semua-jurusan
152,Pendidikan Sosiologi PSDKU Serang,Universitas Sultan Ageng Tirtayasa,FKIP,Serang,Baik,268,15,22,7.3,42,87,50,4100000,8200000,Guru Sosiologi,Peneliti Sosial,Tinggi,Menengah,Pengajaran,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
153,Kajian Diaspora,Universitas Indonesia,FISIP,Depok,Baik,278,15,23,7.3,42,87,49,4300000,8600000,Peneliti Diaspora,Konsultan Multikultural,Tinggi,Rendah,Penelitian Sosial,Sedang,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
154,Pengembangan Perbatasan,Universitas Tanjungpura,FISIP,Pontianak,Baik,256,14,21,7.3,42,87,48,4200000,8400000,Analis Wilayah Perbatasan,Konsultan Pembangunan,Tinggi,Rendah,Perencanaan Wilayah,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
155,Antropologi Kesehatan,Universitas Airlangga,FISIP,Surabaya,Baik,245,14,21,7.0,42,87,49,4200000,8400000,Peneliti Kesehatan,Community Health Worker,Tinggi,Rendah,Penelitian Sosial-Kesehatan,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
156,Kemaritiman,Universitas Indonesia,FISIP,Depok,Baik,294,16,24,7.4,42,88,46,4400000,8800000,Analis Kebijakan Maritim,Maritime Researcher,Tinggi,Menengah,Analisis Kebijakan Maritim,Sedang,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
157,Sastra Cina,Universitas Brawijaya,FIB,Malang,Baik,276,15,23,7.3,41,87,48,4200000,8400000,Penerjemah,Business Liaison,Menengah,Rendah,Bahasa Mandarin,Sulit,https://fib.ub.ac.id/studyprogrammes/
158,Arkeologi Bawah Air,Universitas Hasanuddin,FIB,Makassar,Baik,189,12,18,6.3,43,84,56,4000000,8000000,Arkeolog Maritim,Peneliti Bawah Air,Menengah,Rendah,Eksplorasi Bawah Air,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
159,Pariwisata Budaya,Universitas Sebelas Maret,FISIP,Surakarta,Baik,368,19,28,7.8,41,89,44,4300000,8600000,Cultural Tourism Manager,Event Organizer,Tinggi,Menengah,Manajemen Budaya & Pariwisata,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
160,Pendidikan Bahasa Arab,Universitas Negeri Malang,FBS,Malang,Baik Sekali,336,18,27,7.5,41,88,47,4200000,8400000,Guru Bahasa Arab,Penerjemah,Tinggi,Menengah,Pengajaran,Sedang,https://seleksi.um.ac.id/program-studi-dan-daya-tampung-sarjana/
161,Fotografi,Institut Seni Indonesia Surakarta,FSRD,Surakarta,Baik,325,16,24,8.1,40,88,45,4200000,8400000,Fotografer,Kurator Visual,Tinggi,Rendah,Fotografi,Sedang,https://kampus.republika.co.id/info-kampus/1622914292/Referensi-SNBP-2023-Ini-Daya-Tampung-dan-Peminat-Prodi-Komunikasi-31-PTN-di-Jawa
162,Kajian Pulau Kecil dan Pesisir,Universitas Maritim Raja Ali Haji,FISIP,Tanjungpinang,Baik,197,12,18,6.6,42,85,50,4100000,8200000,Peneliti Wilayah Pesisir,Environmental Consultant,Tinggi,Rendah,Analisis Wilayah Pesisir,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
163,Konservasi Sumber Daya Alam Tropis,Universitas Halu Oleo,FISIP,Kendari,Baik,228,13,20,6.9,42,87,48,4200000,8400000,Environmental Manager,Conservation Specialist,Tinggi,Rendah,Konservasi Lingkungan,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
164,Televisi dan Film,Institut Seni Budaya Indonesia Bandung,FSRD,Bandung,Baik,354,18,27,7.9,41,88,46,4300000,8600000,Film Producer,Media Manager,Tinggi,Menengah,Produksi Media,Sedang,https://kampus.republika.co.id/info-kampus/1622914292/Referensi-SNBP-2023-Ini-Daya-Tampung-dan-Peminat-Prodi-Komunikasi-31-PTN-di-Jawa
165,Pengelolaan Sumber Daya Pesisir,Universitas Jenderal Soedirman,FISIP,Purwokerto,Baik,267,15,22,7.3,42,88,47,4200000,8400000,Coastal Resource Manager,Environmental Consultant,Tinggi,Rendah,Manajemen Lingkungan,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
166,Budaya Asing,Universitas Padjadjaran,FIB,Jatinangor,Baik Sekali,345,18,27,7.7,41,89,45,4400000,8800000,Penerjemah,International Liaison,Tinggi,Menengah,Bahasa Asing,Sedang,https://www.kompas.com/edu/read/2023/04/18/095254271/biaya-kuliah-jurusan-hukum-ui-ugm-unpad-unair-ub
167,Sastra Spanyol,Universitas Gadjah Mada,FIB,Yogyakarta,Baik,253,15,22,6.8,41,88,47,4300000,8600000,Penerjemah,Diplomat,Menengah,Rendah,Bahasa Spanyol,Sedang,https://www.kompas.com/edu/read/2024/05/17/121025871/10-ptn-menaikkan-biaya-kuliah-2024-ada-ui-dan-ugm
168,Pendidikan Bahasa Inggris,Universitas Brawijaya,FIB,Malang,Baik,384,19,29,8.0,41,89,44,4300000,8600000,Guru Bahasa Inggris,Penerjemah,Tinggi,Menengah,Pengajaran,Sedang,https://fib.ub.ac.id/studyprogrammes/
169,Pendidikan Bahasa Jepang,Universitas Brawijaya,FIB,Malang,Baik,342,18,27,7.6,41,88,46,4300000,8600000,Guru Bahasa Jepang,Penerjemah,Tinggi,Rendah,Pengajaran,Sulit,https://fib.ub.ac.id/studyprogrammes/
170,Seni Rupa,Universitas Brawijaya,FIB,Malang,Baik,304,15,23,8.0,40,88,45,4200000,8400000,Seniman,Art Curator,Tinggi,Rendah,Seni Rupa,Sedang,https://fib.ub.ac.id/studyprogrammes/
171,Antropologi,Universitas Brawijaya,FIB,Malang,Baik,272,15,23,7.2,41,88,46,4400000,8800000,Peneliti Budaya,Konsultan Sosial,Tinggi,Menengah,Studi Budaya,Sedang,https://fib.ub.ac.id/studyprogrammes/
172,Kriminologi,Universitas Indonesia,FISIP,Depok,Baik Sekali,462,21,32,8.7,42,90,43,4600000,9200000,Analis Kriminal,Konsultan Keamanan,Tinggi,Menengah,Analisis Kriminal,Sedang,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
173,Kebijakan Publik,Universitas Gadjah Mada,FISIPOL,Yogyakarta,Baik Sekali,475,22,33,8.6,42,90,42,4700000,9400000,Analis Kebijakan,Konsultan Pemerintah,Tinggi,Menengah,Analisis Kebijakan,Sedang,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
174,Manajemen Bencana,Universitas Gadjah Mada,FISIPOL,Yogyakarta,Baik,328,17,26,7.6,42,89,45,4500000,9000000,Emergency Manager,Disaster Consultant,Tinggi,Menengah,Manajemen Krisis,Sedang,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
175,Kajian Asia Tenggara,Universitas Indonesia,FIB,Depok,Baik,286,16,24,7.2,42,88,46,4400000,8800000,Peneliti Regional,Business Consultant,Tinggi,Menengah,Studi Regional,Sedang,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
176,Manajemen Lingkungan dan Sosial,Universitas Padjadjaran,FISIP,Jatinangor,Baik,319,17,25,7.6,42,89,45,4400000,8800000,Environmental Manager,CSR Manager,Tinggi,Menengah,Manajemen Lingkungan,Sedang,https://www.kompas.com/edu/read/2023/04/18/095254271/biaya-kuliah-jurusan-hukum-ui-ugm-unpad-unair-ub
177,Pengembangan Kebijakan Publik,Universitas Airlangga,FISIP,Surabaya,Baik,347,18,27,7.7,42,89,44,4500000,9000000,Analis Kebijakan,Government Consultant,Tinggi,Menengah,Analisis Kebijakan,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
